text,label
Government announces new public transport timetable,0
Local university opens registration for the new academic session,0
Scientists publish a peer reviewed study on renewable energy,0
Weather department issues an official rainfall advisory,0
City hospital opens a new emergency care unit,0
Election commission publishes official voter information,0
National bank announces revised service hours,0
School releases the official examination schedule,0
Researchers report results from a controlled laboratory study,0
Transport department publishes road safety guidelines,0
University confirms scholarship applications will open,0
Health ministry publishes official vaccination information,0
Municipal corporation announces waste collection schedule,0
Railway authority releases an official passenger advisory,0
Police department posts a traffic diversion notice,0
Space agency publishes an official mission update,0
Experts publish a report after reviewing available evidence,0
The court publishes its order on the official website,0
Government website lists the public service application process,0
University researchers publish findings in a scientific journal,0
Scientists secretly discover a miracle pill that cures every disease overnight,1
Forward this message immediately or your bank account will be closed today,1
Aliens have landed and the government is hiding the evidence,1
A magic fruit guarantees instant weight loss without diet or exercise,1
Secret celebrity video proves that every news channel is lying,1
Click this link now to receive free money from the government,1
Doctors are shocked by this one simple trick that reverses all illness,1
A hidden law will make every citizen rich next week,1
Anonymous source claims the moon will disappear tomorrow,1
Share this post with ten people or your phone will stop working,1
A miracle treatment works for every patient with zero side effects,1
Breaking secret report says all schools will permanently close tomorrow,1
Viral message claims a household item can replace every medicine,1
Internet users say a mysterious signal proves aliens control the weather,1
Secret government document predicts instant wealth for everyone,1
A famous actor supposedly reveals a secret cure in a viral video,1
Forwarded message says banks will give free cash to everyone tonight,1
Unverified post claims a single food can prevent every infection,1
Viral social media post says one drink removes all toxins,1
Anonymous post claims tomorrow is an official nationwide holiday,1
